"Feature combination of this file:";"POS_L-w-1"
"Beginning of first training text (1John) is:";"r-asn  -  v-ixi-3s  -  prep  -  n-gsf  -  r-asn  -  v-2rai-1p  -  r-asn  -  v-rai-1p  -  t-dpm  -  n-dpm"
"Beginning of first test text (Ephesians) is:";"n-nsm  -  n-nsm  -  n-gsm  -  n-gsm  -  prep  -  n-gsn  -  n-gsm  -  t-dpm  -  a-dpm  -  t-dpm"
"dist";"feat";"imp";"p1.1";"p2.1";"p1.2";"p2.2";"p1.3";"p2.3";"p1.4";"p2.4";"p1.5";"p2.5";"p1.6";"p2.6";"p1_avg";"p2_avg"
"canberra";0.75;0.75;0.1;0.8;0;0;0;0;0;0;0;0;0;0;0.1;0.8
"cosine";0.9;0.75;0.3;0.7;0;0;0;0;0;0;0;0;0;0;0.3;0.7
"entropy";0.9;0.75;0.3;0.7;0;0;0;0;0;0;0;0;0;0;0.3;0.7
"canberra";0.9;0.75;0.25;0.75;0;0;0;0;0;0;0;0;0;0;0.25;0.75
"cosine";0.1;0.9;0.35;0.4;0.3;0.45;0.3;0.45;0.3;0.35;0.35;0.4;0.3;0.45;0.316666666666667;0.416666666666667
"entropy";0.1;0.9;0.35;0.45;0.3;0.35;0.3;0.35;0.3;0.5;0.3;0.35;0.3;0.4;0.308333333333333;0.4
"canberra";0.1;0.9;0.15;0.55;0;0;0;0;0;0;0;0;0;0;0.15;0.55
"cosine";0.25;0.9;0.4;0.45;0.35;0.55;0.2;0.55;0;0;0;0;0;0;0.316666666666667;0.516666666666667
"entropy";0.25;0.9;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"canberra";0.25;0.9;0.35;0.6;0.3;0.65;0;0;0;0;0;0;0;0;0.325;0.625
"cosine";0.5;0.9;0.4;0.5;0.45;0.45;0.35;0.5;0.4;0.5;0.45;0.45;0.35;0.55;0.4;0.491666666666667
"entropy";0.5;0.9;0.2;0.75;0;0;0;0;0;0;0;0;0;0;0.2;0.75
"canberra";0.5;0.9;0.1;0.85;0;0;0;0;0;0;0;0;0;0;0.1;0.85
"cosine";0.75;0.9;0.35;0.6;0.2;0.8;0;0;0;0;0;0;0;0;0.275;0.7
"entropy";0.75;0.9;0.15;0.8;0;0;0;0;0;0;0;0;0;0;0.15;0.8
"canberra";0.75;0.9;0.05;0.85;0;0;0;0;0;0;0;0;0;0;0.05;0.85
"cosine";0.9;0.9;0.3;0.7;0;0;0;0;0;0;0;0;0;0;0.3;0.7
"entropy";0.9;0.9;0.1;0.9;0;0;0;0;0;0;0;0;0;0;0.1;0.9
"canberra";0.9;0.9;0.15;0.85;0;0;0;0;0;0;0;0;0;0;0.15;0.85
