"Feature combination of this file:";"Greek-c-1"
"Beginning of first training text (1John) is:";"<U+03BF>  -     -  <U+03B7>  -  <U+03BD>  -     -  <U+03B1>  -  <U+03C0>  -     -  <U+03B1>  -  <U+03C1>"
"Beginning of first test text (Ephesians) is:";"<U+03C0>  -  <U+03B1>  -  <U+03C5>  -  <U+03BB>  -  <U+03BF>  -  <U+03C2>  -     -  <U+03B1>  -  <U+03C0>  -  <U+03BF>"
"dist";"feat";"imp";"p1.1";"p2.1";"p1.2";"p2.2";"p1.3";"p2.3";"p1.4";"p2.4";"p1.5";"p2.5";"p1.6";"p2.6";"p1_avg";"p2_avg"
"cosine";0.75;0.75;0.3;0.65;0;0;0;0;0;0;0;0;0;0;0.3;0.65
"entropy";0.75;0.75;0.4;0.55;0.35;0.6;0.4;0.55;0.4;0.55;0.45;0.5;0.35;0.6;0.391666666666667;0.558333333333333
"canberra";0.75;0.75;0.35;0.6;0.2;0.8;0;0;0;0;0;0;0;0;0.275;0.7
"cosine";0.9;0.75;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"entropy";0.9;0.75;0.35;0.65;0;0;0;0;0;0;0;0;0;0;0.35;0.65
"canberra";0.9;0.75;0.1;0.9;0;0;0;0;0;0;0;0;0;0;0.1;0.9
"cosine";0.1;0.9;0.2;0.35;0.1;0.35;0.15;0.35;0.15;0.4;0.15;0.3;0.2;0.3;0.158333333333333;0.341666666666667
"entropy";0.1;0.9;0.25;0.25;0.15;0.3;0.2;0.25;0.2;0.3;0.2;0.25;0.1;0.4;0.183333333333333;0.291666666666667
"canberra";0.1;0.9;0.35;0.35;0.15;0.4;0.15;0.35;0.2;0.35;0.15;0.35;0.05;0.4;0.175;0.366666666666667
"cosine";0.25;0.9;0.3;0.3;0.2;0.4;0.25;0.4;0.25;0.35;0.2;0.35;0.2;0.4;0.233333333333333;0.366666666666667
"entropy";0.25;0.9;0.2;0.5;0;0;0;0;0;0;0;0;0;0;0.2;0.5
