"Feature combination of this file:";"POS_S-w-2"
"Beginning of first training text (1John) is:";"r v  -  v prep  -  prep n  -  n r  -  r v  -  v r  -  r v  -  v t  -  t n  -  n p"
"Beginning of first test text (Ephesians) is:";"n n  -  n n  -  n n  -  n prep  -  prep n  -  n n  -  n t  -  t a  -  a t  -  t v"
"dist";"feat";"imp";"p1.1";"p2.1";"p1.2";"p2.2";"p1.3";"p2.3";"p1.4";"p2.4";"p1.5";"p2.5";"p1.6";"p2.6";"p1_avg";"p2_avg"
"entropy";0.75;0.75;0.4;0.55;0.4;0.55;0.45;0.5;0.4;0.55;0.45;0.5;0.4;0.55;0.416666666666667;0.533333333333333
"canberra";0.75;0.75;0.45;0.5;0.45;0.5;0.45;0.5;0.45;0.5;0.4;0.55;0.45;0.5;0.441666666666667;0.508333333333333
"cosine";0.9;0.75;0.2;0.75;0;0;0;0;0;0;0;0;0;0;0.2;0.75
"entropy";0.9;0.75;0.2;0.6;0;0;0;0;0;0;0;0;0;0;0.2;0.6
"canberra";0.9;0.75;0.15;0.85;0;0;0;0;0;0;0;0;0;0;0.15;0.85
"cosine";0.1;0.9;0.05;0.4;0;0;0;0;0;0;0;0;0;0;0.05;0.4
"entropy";0.1;0.9;0.3;0.3;0.25;0.35;0.2;0.35;0.2;0.45;0.1;0.5;0;0;0.21;0.39
"canberra";0.1;0.9;0.35;0.4;0.35;0.35;0.3;0.45;0.25;0.4;0.3;0.45;0.35;0.35;0.316666666666667;0.4
"cosine";0.25;0.9;0.2;0.45;0;0.6;0;0;0;0;0;0;0;0;0.1;0.525
"entropy";0.25;0.9;0.3;0.4;0.3;0.45;0.3;0.45;0.35;0.45;0.3;0.5;0.3;0.4;0.308333333333333;0.441666666666667
"canberra";0.25;0.9;0.25;0.45;0.4;0.5;0.4;0.4;0.3;0.4;0.25;0.5;0.3;0.4;0.316666666666667;0.441666666666667
"cosine";0.5;0.9;0.3;0.6;0;0;0;0;0;0;0;0;0;0;0.3;0.6
"entropy";0.5;0.9;0.2;0.65;0;0;0;0;0;0;0;0;0;0;0.2;0.65
"canberra";0.5;0.9;0.35;0.6;0.35;0.6;0.3;0.55;0.45;0.45;0.4;0.55;0.35;0.6;0.366666666666667;0.558333333333333
"cosine";0.75;0.9;0.2;0.7;0;0;0;0;0;0;0;0;0;0;0.2;0.7
"entropy";0.75;0.9;0.1;0.8;0;0;0;0;0;0;0;0;0;0;0.1;0.8
"canberra";0.75;0.9;0.35;0.6;0.15;0.8;0;0;0;0;0;0;0;0;0.25;0.7
"cosine";0.9;0.9;0.25;0.7;0;0;0;0;0;0;0;0;0;0;0.25;0.7
"entropy";0.9;0.9;0.25;0.6;0;0;0;0;0;0;0;0;0;0;0.25;0.6
"canberra";0.9;0.9;0.3;0.7;0;0;0;0;0;0;0;0;0;0;0.3;0.7
