"Feature combination of this file:";"POS_S-w-1"
"Beginning of first training text (1John) is:";"r  -  v  -  prep  -  n  -  r  -  v  -  r  -  v  -  t  -  n"
"Beginning of first test text (Ephesians) is:";"n  -  n  -  n  -  n  -  prep  -  n  -  n  -  t  -  a  -  t"
"dist";"feat";"imp";"p1.1";"p2.1";"p1.2";"p2.2";"p1.3";"p2.3";"p1.4";"p2.4";"p1.5";"p2.5";"p1.6";"p2.6";"p1_avg";"p2_avg"
"cosine";0.9;0.75;0.45;0.5;0.35;0.6;0.35;0.6;0.35;0.6;0.4;0.5;0.4;0.5;0.383333333333333;0.55
"entropy";0.9;0.75;0.1;0.85;0;0;0;0;0;0;0;0;0;0;0.1;0.85
"canberra";0.9;0.75;0.35;0.6;0.35;0.6;0.35;0.55;0.4;0.55;0.4;0.6;0.35;0.55;0.366666666666667;0.575
"cosine";0.1;0.9;0.35;0.6;0.25;0.55;0;0;0;0;0;0;0;0;0.3;0.575
"entropy";0.1;0.9;0.2;0.6;0;0;0;0;0;0;0;0;0;0;0.2;0.6
"canberra";0.1;0.9;0.3;0.3;0.25;0.35;0.15;0.45;0;0;0;0;0;0;0.233333333333333;0.366666666666667
"cosine";0.25;0.9;0.25;0.25;0.2;0.25;0.05;0.4;0;0;0;0;0;0;0.166666666666667;0.3
"entropy";0.25;0.9;0.2;0.35;0.2;0.4;0.25;0.3;0.2;0.3;0.25;0.3;0.2;0.3;0.216666666666667;0.325
"canberra";0.25;0.9;0.2;0.5;0;0;0;0;0;0;0;0;0;0;0.2;0.5
"cosine";0.5;0.9;0.35;0.4;0.2;0.4;0.35;0.4;0.3;0.4;0.35;0.45;0.3;0.45;0.308333333333333;0.416666666666667
"entropy";0.5;0.9;0.35;0.4;0.2;0.5;0;0;0;0;0;0;0;0;0.275;0.45
"canberra";0.5;0.9;0.35;0.5;0.4;0.5;0.3;0.55;0.4;0.6;0.4;0.45;0.4;0.6;0.375;0.533333333333333
"cosine";0.75;0.9;0.3;0.45;0.3;0.55;0.35;0.4;0.35;0.5;0.35;0.45;0.3;0.45;0.325;0.466666666666667
"entropy";0.75;0.9;0.4;0.45;0.35;0.45;0.3;0.55;0.4;0.45;0.4;0.45;0.25;0.55;0.35;0.483333333333333
"canberra";0.75;0.9;0.35;0.45;0.25;0.5;0.3;0.5;0.4;0.55;0.05;0.95;0;0;0.27;0.59
"cosine";0.9;0.9;0.2;0.75;0;0;0;0;0;0;0;0;0;0;0.2;0.75
"entropy";0.9;0.9;0.05;0.9;0;0;0;0;0;0;0;0;0;0;0.05;0.9
"canberra";0.9;0.9;0.3;0.65;0;0;0;0;0;0;0;0;0;0;0.3;0.65
