Feature combination of this file:;Strong-w-2;;;;;;;;;;;;;;;
Beginning of first training text (1John) is:;g3739 g2258  -  g2258 g575  -  g575 g746  -  g746 g3739  -  g3739 g191  -  g191 g3739  -  g3739 g3708  -  g3708 g3588  -  g3588 g3788  -  g3788 g2257;;;;;;;;;;;;;;;
Beginning of first test text (1Timothy) is:;g3972 g652  -  g652 g5547  -  g5547 g2424  -  g2424 g2596  -  g2596 g2003  -  g2003 g2316  -  g2316 g4990  -  g4990 g2257  -  g2257 g2532  -  g2532 g5547;;;;;;;;;;;;;;;
dist;feat;imp;p1.1;p2.1;p1.2;p2.2;p1.3;p2.3;p1.4;p2.4;p1.5;p2.5;p1.6;p2.6;p1_avg;p2_avg
entropy;0.75;0.5;0.25;0.75;0.3;0.7;0.3;0.7;0.25;0.75;0.4;0.6;0.3;0.7;0.3;0.7
canberra;0.75;0.5;0.05;0.95;0.45;0.55;0.35;0.65;0.15;0.85;0.4;0.6;0.4;0.6;0.3;0.7
cosine;0.9;0.5;0.25;0.75;0.2;0.75;0.3;0.7;0.3;0.7;0.15;0.8;0.15;0.85;0.225;0.758333333
entropy;0.9;0.5;0.2;0.75;0.45;0.55;0.25;0.75;0.5;0.5;0.3;0.7;0.35;0.65;0.341666667;0.65
canberra;0.9;0.5;0.25;0.75;0;1;0;1;0;1;0.45;0.55;0.45;0.55;0.191666667;0.808333333
cosine;0.1;0.75;0.1;0.55;0.1;0.55;0.2;0.5;0.3;0.55;0.25;0.55;0.05;0.75;0.166666667;0.575
entropy;0.1;0.75;0.1;0.9;0.1;0.9;0.2;0.8;0.25;0.75;0.25;0.75;0.1;0.9;0.166666667;0.833333333
canberra;0.1;0.75;0.2;0.8;0.1;0.75;0.3;0.7;0.25;0.75;0.2;0.75;0.25;0.75;0.216666667;0.75
cosine;0.25;0.75;0.4;0.45;0.3;0.45;0.4;0.45;0.35;0.55;0.35;0.5;0.4;0.45;0.366666667;0.475
entropy;0.25;0.75;0;1;0.3;0.7;0.3;0.7;0.4;0.45;0.3;0.7;0.3;0.7;0.266666667;0.708333333
canberra;0.25;0.75;0.15;0.85;0.15;0.85;0.2;0.8;0.2;0.8;0.2;0.8;0.2;0.8;0.183333333;0.816666667
cosine;0.5;0.75;0.45;0.5;0.35;0.6;0.4;0.5;0.3;0.65;0.35;0.6;0.35;0.6;0.366666667;0.575
entropy;0.5;0.75;0.45;0.5;0.35;0.6;0.3;0.7;0.5;0.5;0.3;0.7;0.3;0.7;0.366666667;0.616666667
canberra;0.5;0.75;0.25;0.75;0.15;0.85;0.2;0.8;0.1;0.9;0.25;0.75;0.2;0.8;0.191666667;0.808333333
cosine;0.75;0.75;0.3;0.6;0.2;0.7;0.15;0.8;0.3;0.65;0.15;0.8;0.25;0.7;0.225;0.708333333
entropy;0.75;0.75;0.3;0.7;0.3;0.7;0.3;0.7;0.25;0.75;0.3;0.7;0.45;0.55;0.316666667;0.683333333
canberra;0.75;0.75;0.2;0.8;0.15;0.85;0.25;0.75;0.2;0.8;0.25;0.75;0.15;0.85;0.2;0.8
cosine;0.9;0.75;0.15;0.85;0.15;0.85;0.1;0.9;0.2;0.75;0.15;0.85;0.15;0.85;0.15;0.841666667
entropy;0.9;0.75;0.3;0.7;0.3;0.7;0.3;0.7;0.25;0.75;0.3;0.7;0.25;0.75;0.283333333;0.716666667
canberra;0.9;0.75;0.25;0.75;0.25;0.75;0.2;0.8;0.05;0.95;0.3;0.7;0.2;0.8;0.208333333;0.791666667
cosine;0.1;0.9;0.4;0.4;0.15;0.5;0.1;0.5;0.35;0.45;0.05;0.55;0.15;0.45;0.2;0.475
